Organism,AntimicrobialGroup,Indicator,Year,RegionCode,RegionName,PercentageResistant
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,CZ,Czechia,33.68421052
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,DE,Germany,4.18604651
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,DK,Denmark,2.77777777
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,EL,Greece,88.65979381
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,ES,Spain,46.9879518
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,FI,Finland,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,FR,France,14.58773784
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,HR,Croatia,92.14285714
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,HU,Hungary,50.59665871
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,IE,Ireland,1.75438596
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,IT,Italy,78.80268784
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,LT,Lithuania,83.17757009
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,LV,Latvia,68.18181818
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,NL,Netherlands,3.22580645
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,NO,Norway,4.34782608
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,PL,Poland,70.79365079
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,PT,Portugal,24.73118279
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,RO,Romania,83.81742738
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,SE,Sweden,5.30973451
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,SI,Slovenia,25.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,SK,Slovakia,46.39175257
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,UK,United Kingdom,5.13176144
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,AT,Austria,7.57575757
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,BE,Belgium,2.7027027
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,BG,Bulgaria,75.96899224
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,CY,Cyprus,77.58620689
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,CZ,Czechia,34.14634146
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,DE,Germany,4.73588342
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,DK,Denmark,4.61538461
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,EL,Greece,90.37138927
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,ES,Spain,53.26086956
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,FI,Finland,2.7027027
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,FR,France,8.32072617
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,HR,Croatia,96.44444444
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,HU,Hungary,72.36842105
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,IE,Ireland,2.08333333
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,IT,Italy,80.24839743
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,LT,Lithuania,86.2745098
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,LV,Latvia,63.46153846
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,NL,Netherlands,1.34228187
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,NO,Norway,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,PL,Poland,70.79889807
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,PT,Portugal,12.5
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,RO,Romania,90.11857707
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,SE,Sweden,8.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2020,SI,Slovenia,25.0
