variable_A,variable_B,variable_C,variable_D,variable_E,variable_F,variable_G,variable_H
29.7436,36.0256,42.81171147,30.02044842,35.53766421,48.72938687,34.20762084,33.59380544
29.7436,32.1795,43.30061489,31.5264262,20.40894789,32.20303042,36.52348922,35.67104839
30,29.1026,40.39863291,16.34700838,23.49571047,25.32246815,28.41920213,21.31574825
32.0513,26.7949,40.43569158,20.23267068,29.55754336,21.36477746,26.16049694,23.04223147
35.8974,25.2564,40.93654667,16.91300484,33.00823391,15.98507146,40.4353274,27.64007114
41.0256,25.2564,39.66157367,15.60935558,53.98039918,29.35098671,44.54495531,27.36224262
44.1026,25.641,40.89925918,20.79852895,52.2343086,29.71167299,40.1237272,30.07316194
47.1795,28.718,41.96861683,26.4970726,59.50307661,30.66967394,42.18480645,28.57367473
49.4872,31.4103,40.38340582,21.39122552,41.16378107,34.31575825,40.00265929,27.48751
51.5385,34.8718,56.53812645,32.44424547,48.99304012,32.03035884,57.12523105,42.73901914
53.5897,37.5641,52.97069128,29.04019669,59.26928032,29.64070177,60.37574497,41.356458
55.1282,40.641,54.62095259,30.34452445,45.469177,33.83119273,55.10589613,46.14905106
56.6667,42.1795,65.09904439,27.24155756,62.69126654,30.29037383,61.73727102,38.58484401
59.2308,44.4872,63.05599091,29.70909567,73.42867087,48.57785513,55.74124432,46.65357698
62.3077,46.0256,70.96013623,41.25950129,70.84642611,52.28225333,58.29640842,41.58319773
64.8718,46.7949,69.89581924,43.45375927,71.53901985,45.52180616,57.04254822,42.41875774
67.9487,47.9487,70.59589286,41.96474387,67.62086589,38.00655847,76.77561121,55.2545987
70.5128,53.718,69.64702143,44.04444502,72.47095256,51.12213482,71.88707726,59.26699262
71.5385,60.641,77.39298249,63.37145906,64.81223756,62.81091559,73.78837307,58.62081212
71.5385,64.4872,64.40078719,67.44871845,60.85367987,65.49914703,75.13968473,54.24455218
69.4872,69.4872,63.86895983,70.21373883,67.78949616,61.36370155,64.59631891,65.95251293
46.9231,79.8718,56.59442132,86.92700622,41.60955727,83.84868656,46.90953863,85.60226116
48.2051,84.1026,56.53133729,87.49981107,53.00302532,84.6747986,46.9051032,81.56564241
50,85.2564,59.65215837,87.80946159,54.71417106,84.04312807,49.80698774,82.08502559
53.0769,85.2564,56.6365087,85.63749556,44.29166872,82.90944121,48.86324182,83.15835749
55.3846,86.0256,58.672288,90.07716031,49.19172196,85.87622912,66.7481899,84.00483417
56.6667,86.0256,58.22161273,90.41101877,53.10138178,84.54765869,62.35976628,90.24365992
56.1538,82.9487,57.91466448,89.95380277,51.59984815,84.81982149,47.3748965,83.47155552
53.8462,80.641,55.31550906,80.25186069,54.37972195,84.24035555,47.44646672,82.62212401
51.2821,78.718,54.57572859,77.53628847,46.4807681,83.51821167,53.38528063,78.87113626
50,78.718,54.41309365,78.22908659,53.17465627,84.26056799,49.45270777,79.9306028
47.9487,77.5641,55.0745059,79.81754642,45.27200294,85.23707942,54.80268254,75.36398499
29.7436,59.8718,29.43296052,60.80177654,36.03340215,53.37168776,37.08824513,60.8572275
29.7436,62.1795,29.42268607,63.06846482,28.27119417,72.84023126,32.37596192,68.51082046
31.2821,62.5641,29.00561416,63.39075133,25.05480608,71.54859792,37.47701388,63.78868557
57.9487,99.4872,58.46183859,90.26532639,64.758887,82.31522364,52.4066489,96.42541501
61.7949,99.1026,57.99780474,92.15990861,63.14452748,85.23669633,50.29704327,99.64417917
64.8718,97.5641,57.54947408,90.74890656,50.42467869,85.17474759,61.56332438,89.86413886
68.4615,94.1026,59.52992846,88.32727415,70.64499626,82.43091876,61.08656039,89.22435565
70.7692,91.0256,58.24939106,92.12968148,63.14904908,83.94685535,59.2364904,91.48110058
72.0513,86.4103,58.02451401,91.69442117,62.82402452,84.96618595,66.15400509,84.11193703
73.8462,83.3333,58.38212449,90.55347607,70.23686952,82.17115106,67.23133478,85.05564081
75.1282,79.1026,62.56675904,77.74393476,70.04273524,80.38502135,73.70990687,78.2706109
76.6667,75.2564,72.17582431,63.12892942,72.57062345,80.97121843,76.58045136,72.89153368
77.6923,71.4103,79.47276157,63.40868612,75.13071604,79.98409314,78.87658116,71.56252768
79.7436,66.7949,80.35770088,63.29543754,83.29390573,70.77843179,77.44900214,72.44730949
81.7949,60.2564,78.75723614,53.33262001,79.66426228,73.93230972,86.85370735,65.54332402
83.3333,55.2564,82.54023959,56.54105229,88.43210253,64.624247,79.8065313,52.72317979
85.1282,51.4103,86.43589719,59.79276181,89.11555901,64.00150664,76.98827347,54.2027848
86.4103,47.5641,79.48868442,53.65167426,89.09219763,57.76819305,79.4793575,49.14101545
87.9487,46.0256,81.53042032,56.02536457,91.72600577,52.62335326,82.30415956,46.99090362
89.4872,42.5641,79.18678857,53.23479185,91.73553876,48.97021089,90.70069125,41.46670301
93.3333,39.8718,77.89905795,51.82245833,91.50788817,53.31265209,95.44348781,36.18970161
95.3846,36.7949,75.13071421,23.37244197,88.2390019,31.47743488,94.99748805,35.09530111
98.2051,33.718,76.05801375,16.38374969,88.5305192,30.47603101,91.51784725,36.89026313
56.6667,40.641,57.61467439,33.82244765,55.36516034,30.44585028,62.29264219,40.02953331
59.2308,38.3333,56.17139753,32.11798877,62.56025887,30.44713567,59.20347561,41.27067767
60.7692,33.718,66.2878906,26.11710975,58.00666912,30.2537213,65.25639277,32.85410412
63.0769,29.1026,67.88171962,24.23601841,55.06711799,29.0115352,62.4447425,35.41499923
64.1026,25.2564,64.0280813,27.67268551,61.61477596,29.99439119,72.46240629,27.62426383
64.359,24.1026,77.49665175,14.94852356,68.54314354,35.65783217,69.91942626,29.31109272
74.359,22.9487,77.63465176,14.46185393,77.70610965,20.30426019,77.76285908,23.49137356
71.2821,22.9487,77.86372643,14.61067765,68.453046,13.03552859,72.7784102,26.90053537
67.9487,22.1795,77.33815817,15.89005466,68.25720644,12.38463915,65.19831667,33.02717179
65.8974,20.2564,76.18041653,15.91257375,70.25547467,13.25038497,69.45985889,30.19703151
63.0769,19.1026,77.25265109,15.15151702,65.04432528,11.00084148,59.31505552,12.35431367
61.2821,19.1026,77.41337528,15.22192798,60.09224661,11.87211171,51.48771336,20.84361069
58.7179,18.3333,76.7318494,16.21684614,52.99202897,9.906668483,57.11244755,15.32178517
55.1282,18.3333,49.47110541,25.06301931,50.14462898,12.21154309,50.22441782,19.17096988
52.3077,18.3333,42.47653994,18.33847356,46.50861419,11.20713449,50.43386119,18.53487085
49.7436,17.5641,43.59511586,19.99420098,43.80703196,11.31894489,56.3803054,14.78845971
47.4359,16.0256,50.33996967,26.47139661,57.81785469,10.94514243,54.8635046,14.00961192
44.8718,13.718,40.74898026,16.18214166,50.94049266,9.691547134,45.49985765,3.985426293
48.7179,14.8718,38.38652558,14.58021515,63.49732308,11.91406917,49.93674531,21.59009692
51.2821,14.8718,38.40401521,14.45194845,50.01648295,11.93385209,53.80987292,17.76641445
54.1026,14.8718,38.76427889,14.36559047,58.63676508,11.97472107,59.85267828,9.039949921
56.1538,14.1026,41.47014233,17.27803344,54.73028909,11.41288267,48.17565679,19.52121535
52.0513,12.5641,47.15540481,22.37793253,65.8755478,11.73243636,50.74171907,17.83840561
48.7179,11.0256,39.58256675,17.64845284,57.06098271,9.920560854,58.4597613,14.14866285
47.1795,9.8718,41.74024382,17.82932431,46.81990795,10.49465268,50.11459752,1.741461713
46.1538,6.0256,39.31187189,15.64071697,38.35939487,13.43132262,45.42038208,5.372408995
50.5128,9.4872,41.67984769,17.74591901,47.31541578,12.85345178,51.3532682,0.303872421
53.8462,10.2564,39.08746445,15.12230394,55.05191654,11.94998862,53.09170442,19.29003045
57.4359,10.2564,41.48150286,18.04743744,50.51596026,9.765591622,58.94316654,11.61287779
60,10.641,77.60608655,15.16287254,49.67741465,10.38313251,59.31099042,10.57213637
64.1026,10.641,75.98266152,16.30692238,67.28065952,14.12865153,68.22219866,1.133880366
66.9231,10.641,76.94575724,15.85847833,66.17301826,12.03791702,62.51177199,7.491232483
71.2821,10.641,77.54372007,15.25394915,61.08854414,10.08453441,69.38005636,1.488132333
74.359,10.641,77.58473984,15.83003939,66.05308577,13.38022601,82.80024787,18.52937624
78.2051,10.641,76.82230426,15.59516532,72.66998927,15.23422594,85.16033218,15.01836954
67.9487,8.718,77.34857166,15.77452924,61.5034725,10.82841448,67.0958477,0.601490942
68.4615,5.2564,77.57315269,14.78064583,68.99502863,13.99431053,62.30775057,5.749974719
68.2051,2.9487,77.97261068,14.95569875,78.24991617,17.88324091,59.97041505,7.913310474
37.6923,25.7692,41.52891976,24.91642519,36.48198057,15.16276009,39.91163517,32.14402261
39.4872,25.3846,43.7225508,19.0773278,50.96774838,29.67977429,39.59650098,32.13613173
91.2821,41.5385,79.32607818,52.90039129,91.19105361,46.67434284,95.5934164,33.2341294
50,95.7692,56.66397408,87.94012501,55.86376849,85.33648676,52.77228811,99.61347168
47.9487,95,57.82178923,90.69316655,49.2805948,84.04882283,53.17861445,98.60386119
44.1026,92.6923,58.2431719,92.10432787,43.36850154,84.3321772,37.62705346,93.06067295
